MB,Particolato Totale Sospeso,222,µg_m3,-826
PV,Monossido di Carbonio,90,mg_m3,16
MN,Nikel,22,ng_m3,16
MN,Biossido di Azoto,11,µg_m3,-3686
MN,Ossidi di Azoto,11,µg_m3,-3686
MN,PM10 (SM2005),11,µg_m3,-3653
BG,Particelle sospese PM2.5,249,µg_m3,16
MI,Ossidi di Azoto,141,µg_m3,16
VA,PM10 (SM2005),212,µg_m3,16
LC,Biossido di Azoto,214,µg_m3,16
CO,Monossido di Carbonio,256,mg_m3,-7322
